company,domain,url,title
MASS MAILING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=MASS+MAILING+official+website&num=1
NEW YORK CITY TRANSIT AUTHORITY,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=NEW+YORK+CITY+TRANSIT+AUTHORITY+official+website&num=1
NEW YORK PRINT COMPANY,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=NEW+YORK+PRINT+COMPANY+official+website&num=1
NU EZ CUSTOM BINDERY,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=NU+EZ+CUSTOM+BINDERY+official+website&num=1
PORT WASHINGTON SCHOOL DISTRICT,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=PORT+WASHINGTON+SCHOOL+DISTRICT+official+website&num=1
ALLIED PRINTING SERVICES,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=ALLIED+PRINTING+SERVICES+official+website&num=1
ACCURATE COMMUNICATIONS AND MAILING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=ACCURATE+COMMUNICATIONS+AND+MAILING+official+website&num=1
COLOR PRESS,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=COLOR+PRESS+official+website&num=1
CORSO PRINTING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=CORSO+PRINTING+official+website&num=1
INTENIMANS BAKERY,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=INTENIMANS+BAKERY+official+website&num=1
MAILHANDLERS MAILING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=MAILHANDLERS+MAILING+official+website&num=1
NORTH AMERICAN MAILERS SUPPLY,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=NORTH+AMERICAN+MAILERS+SUPPLY+official+website&num=1
OMNISCNT,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=OMNISCNT+official+website&num=1
SHOP USAGE,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=SHOP+USAGE+official+website&num=1
UNKNOWN,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=UNKNOWN+official+website&num=1
UNIQUE MACHINERY,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=UNIQUE+MACHINERY+official+website&num=1
VERSATILE RESOURCES,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=VERSATILE+RESOURCES+official+website&num=1
WORD PRO GROUP,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=WORD+PRO+GROUP+official+website&num=1
ACCELERATED MAILING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=ACCELERATED+MAILING+official+website&num=1
CMC MACHINE CORP.,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=CMC+MACHINE+CORP.+official+website&num=1
FIRST RATE MAILING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=FIRST+RATE+MAILING+official+website&num=1
FIVE STAR GRAPHICS,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=FIVE+STAR+GRAPHICS+official+website&num=1
G3 WORLDWIDE USA,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=G3+WORLDWIDE+USA+official+website&num=1
GLS COMPANIES,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=GLS+COMPANIES+official+website&num=1
MID ATLANTIC GRAPHICS INC,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=MID+ATLANTIC+GRAPHICS+INC+official+website&num=1
PNA PRINTING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=PNA+PRINTING+official+website&num=1
RPG OFFSET REPAIR,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=RPG+OFFSET+REPAIR+official+website&num=1
SRM GRAPHICS,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=SRM+GRAPHICS+official+website&num=1
SPRING/G3 WORLDWIDE (US),ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=SPRING%2FG3+WORLDWIDE+%28US%29+official+website&num=1
TIBONE,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=TIBONE+official+website&num=1
VALUE LINE DISTRIBUTION,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=VALUE+LINE+DISTRIBUTION+official+website&num=1
AMERICAN ADDRESSING & MAILING,ERROR,,403 Client Error: Forbidden for url: https://www.googleapis.com/customsearch/v1?key=AIzaSyDeaUCqJzd9L0nx05vaGfqdqFT8ZlsmkxI&cx=635dae9faacd44ff4&q=AMERICAN+ADDRESSING+%26+MAILING+official+website&num=1
